Property Type,Listing IDs,Occupancy,Nightly Rate,Monthly Income
"    'House',","   '44566765',","    40,","    125,","    1528,"
"    'House',","   '45174144',","    72,","    72,","    1566,"
"    'House',","   '45402956',","    61,","    117,","    2156,"
"    'House',","   '45484566',","    32,","    164,","    1558,"
"    'House',","   '45543602',","    100,","    71,","    2144,"
"    'House',","   '45617143',","    81,","    70,","    1708,"
"    'House',","   '45638192',","    75,","    26,","    589,"
"    'House',","   '46065823',","    62,","    145,","    2726,"
"    'House',","   '46089732',","    36,","    107,","    1177,"
"    'House',","   '46123116',","    77,","    102,","    2363,"
"    'House',","   '46214776',","    51,","    51,","    778,"
"    'House',","   '46355989',","    33,","    148,","    1443,"
"    'House',","   '46532213',","    67,","    153,","    3091,"
"    'House',","   '46880346',","    60,","    79,","    1422,"
"    'House',","   '46921846',","    88,","    72,","    1915,"
"    'House',","   '46922593',","    70,","    165,","    3498,"
"    'House',","   '47102725',","    84,","    227,","    5732,"
"    'House',","   '47141026',","    48,","    128,","    1824,"
"    'House',","   '47266142',","    41,","    82,","    1005,"
"    'House',","   '47290848',","    17,","    270,","    1350,"
"    'House',","   '47306749',","    39,","    436,","    5123,"
"    'House',","   '47595869',","    60,","    144,","    2592,"
"    'House',","   '47937553',","    25,","    69,","    518,"
"    'House',","   '5606473',","    87,","    85,","    2253,"
"    'House',","   '5968425',","    0,","    158,","    0,"
"    'House',","   '6666101',","    32,","    82,","    793,"
"    'House',","   '8166861',","    76,","    49,","    1142,"
"    'House',","   '9253782',","    61,","    165,","    3080,"
"    'Loft',","   '14232224',","    95,","    62,","    1788,"
"    'Loft',","   '25769736',","    84,","    113,","    2872,"
"    'Loft',","   '25906214',","    100,","    65,","    1977,"
"    'Loft',","   '30040303',","    71,","    52,","    1118,"
"    'Loft',","   '39205558',","    81,","    113,","    2769,"
"    'Loft',","   '39569704',","    19,","    81,","    479,"
"    'Loft',","   '42071738',","    29,","    105,","    936,"
"    'Loft',","   '43371948',","    67,","    100,","    2000,"
"    'Other',","   '15529009',","    30,","    74,","    685,"
"    'Other',","   '35263412',","    29,","    196,","    1748,"
"    'Tiny house',","   '11142694',","    63,","    92,","    1771,"
"    'Tiny house',","   '16261082',","    45,","    45,","    619,"
"    'Tiny house',","   '18673341',","    60,","    96,","    1744,"
"    'Tiny house',","   '18854613',","    96,","    104,","    3033,"
"    'Tiny house',","   '19068754',","    88,","    104,","    2799,"
"    'Tiny house',","   '21295366',","    46,","    98,","    1364,"
"    'Tiny house',","   '25477562',","    47,","    99,","    1419,"
"    'Tiny house',","   '28694342',","    85,","    88,","    2288,"
"    'Tiny house',","   '29325722',","    64,","    106,","    2049,"
"    'Tiny house',","   '30128900',","    56,","    98,","    1682,"
"    'Tiny house',","   '36385337',","    94,","    104,","    2981,"
"    'Tiny house',","   '37578502',","    99,","    90,","    2708,"
"    'Tiny house',","   '43911398',","    31,","    152,","    1406,"
"    'Tiny house',","   '44321122',","    68,","    106,","    2173,"
"    'Tiny house',","   '46546379',","    78,","    34,","    805,"
"    'Tiny house',","   '46944609',","    85,","    107,","    2739,"
"    'Townhouse',","   '14288329',","    82,","    144,","    3612,"
"    'Townhouse',","   '15081931',","    29,","    157,","    1382,"
"    'Townhouse',","   '15806643',","    34,","    105,","    1085,"
"    'Townhouse',","   '1785542',","    74,","    97,","    2191,"
"    'Townhouse',","   '21199135',","    58,","    185,","    3268,"
"    'Townhouse',","   '21771492',","    43,","    85,","    1105,"
"    'Townhouse',","   '23022345',","    78,","    91,","    2166,"
"    'Townhouse',","   '23538086',","    15,","    92,","    414,"
"    'Townhouse',","   '25659069',","    26,","    63,","    499,"
"    'Townhouse',","   '25904592',","    100,","    90,","    2738,"
"    'Townhouse',","   '27933568',","    100,","    90,","    2730,"
"    'Townhouse',","   '27950476',","    10,","    83,","    249,"
"    'Townhouse',","   '28197412',","    38,","    64,","    731,"
"    'Townhouse',","   '28521329',","    24,","    73,","    541,"
"    'Townhouse',","   '29336945',","    100,","    110,","    3346,"
"    'Townhouse',","   '31675962',","    57,","    128,","    2234,"
"    'Townhouse',","   '35010181',","    82,","    65,","    1620,"
"    'Townhouse',","   '36603925',","    67,","    102,","    2083,"
"    'Townhouse',","   '36667408',","    49,","    227,","    3386,"
"    'Townhouse',","   '37089329',","    32,","    186,","    1829,"
"    'Townhouse',","   '37094751',","    27,","    213,","    1740,"
"    'Townhouse',","   '42229373',","    86,","    86,","    2258,"
"    'Townhouse',","   '43557495',","    35,","    91,","    965,"
"    'Townhouse',","   '45700341',","    72,","    76,","    1661,"
"    'Townhouse',","   '46374670',","    51,","    74,","    1135,"
"    'Townhouse',","   '46376688',","    48,","    70,","    1015,"
"    'Townhouse',","   '47069109',","    89,","    75,","    2006,"
"    'Townhouse',","   '48282384',","    90,","    96,","    2640,"
"    'Villa',","   '39504775',","    68,","    106,","    2191,"
"    'Villa',","   '47817690',","    41,","    104,","    1274,"
"Apartment',","'10117384',","25,","101,","766,"
